1,1,2025-01-01,Completed,UPI
2,2,2025-01-02,Completed,Credit Card
3,3,2025-01-03,Pending,Debit Card
4,4,2025-01-04,Completed,Net Banking
5,5,2025-01-05,Failed,UPI
6,6,2025-01-06,Completed,Cash
7,7,2025-01-07,Completed,Credit Card
8,8,2025-01-08,Pending,UPI
9,9,2025-01-09,Completed,Debit Card
10,10,2025-01-10,Completed,Net Banking
11,11,2025-01-11,Completed,UPI
12,12,2025-01-12,Completed,Credit Card
13,13,2025-01-13,Pending,Debit Card
14,14,2025-01-14,Completed,Net Banking
15,15,2025-01-15,Failed,UPI
16,16,2025-01-16,Completed,Cash
17,17,2025-01-17,Completed,Credit Card
18,18,2025-01-18,Pending,UPI
19,19,2025-01-19,Completed,Debit Card
20,20,2025-01-20,Completed,Net Banking
21,21,2025-01-21,Completed,UPI
22,22,2025-01-22,Completed,Credit Card
23,23,2025-01-23,Pending,Debit Card
24,24,2025-01-24,Completed,Net Banking
25,25,2025-01-25,Failed,UPI
26,26,2025-01-26,Completed,Cash
27,27,2025-01-27,Completed,Credit Card
28,28,2025-01-28,Pending,UPI
29,29,2025-01-29,Completed,Debit Card
30,30,2025-01-30,Completed,Net Banking
31,31,2025-02-01,Completed,UPI
32,32,2025-02-02,Completed,Credit Card
33,33,2025-02-03,Pending,Debit Card
34,34,2025-02-04,Completed,Net Banking
35,35,2025-02-05,Failed,UPI
36,36,2025-02-06,Completed,Cash
37,37,2025-02-07,Completed,Credit Card
38,38,2025-02-08,Pending,UPI
39,39,2025-02-09,Completed,Debit Card
40,40,2025-02-10,Completed,Net Banking
41,41,2025-02-11,Completed,UPI
42,42,2025-02-12,Completed,Credit Card
43,43,2025-02-13,Pending,Debit Card
44,44,2025-02-14,Completed,Net Banking
45,45,2025-02-15,Failed,UPI
46,46,2025-02-16,Completed,Cash
47,47,2025-02-17,Completed,Credit Card
48,48,2025-02-18,Pending,UPI
49,49,2025-02-19,Completed,Debit Card
50,50,2025-02-20,Completed,Net Banking
51,51,2025-02-21,Completed,UPI
52,52,2025-02-22,Completed,Credit Card
53,53,2025-02-23,Pending,Debit Card
54,54,2025-02-24,Completed,Net Banking
55,55,2025-02-25,Failed,UPI
56,56,2025-02-26,Completed,Cash
57,57,2025-02-27,Completed,Credit Card
58,58,2025-02-28,Pending,UPI
59,59,2025-03-01,Completed,Debit Card
60,60,2025-03-02,Completed,Net Banking
61,61,2025-03-03,Completed,UPI
62,62,2025-03-04,Completed,Credit Card
63,63,2025-03-05,Pending,Debit Card
64,64,2025-03-06,Completed,Net Banking
65,65,2025-03-07,Failed,UPI
66,66,2025-03-08,Completed,Cash
67,67,2025-03-09,Completed,Credit Card
68,68,2025-03-10,Pending,UPI
69,69,2025-03-11,Completed,Debit Card
70,70,2025-03-12,Completed,Net Banking
71,71,2025-03-13,Completed,UPI
72,72,2025-03-14,Completed,Credit Card
73,73,2025-03-15,Pending,Debit Card
74,74,2025-03-16,Completed,Net Banking
75,75,2025-03-17,Failed,UPI
76,76,2025-03-18,Completed,Cash
77,77,2025-03-19,Completed,Credit Card
78,78,2025-03-20,Pending,UPI
79,79,2025-03-21,Completed,Debit Card
80,80,2025-03-22,Completed,Net Banking
81,81,2025-03-23,Completed,UPI
82,82,2025-03-24,Completed,Credit Card
83,83,2025-03-25,Pending,Debit Card
84,84,2025-03-26,Completed,Net Banking
85,85,2025-03-27,Failed,UPI
86,86,2025-03-28,Completed,Cash
87,87,2025-03-29,Completed,Credit Card
88,88,2025-03-30,Pending,UPI
89,89,2025-03-31,Completed,Debit Card
90,90,2025-04-01,Completed,Net Banking
91,91,2025-04-02,Completed,UPI
92,92,2025-04-03,Completed,Credit Card
93,93,2025-04-04,Pending,Debit Card
94,94,2025-04-05,Completed,Net Banking
95,95,2025-04-06,Failed,UPI
96,96,2025-04-07,Completed,Cash
97,97,2025-04-08,Completed,Credit Card
98,98,2025-04-09,Pending,UPI
99,99,2025-04-10,Completed,Debit Card
100,100,2025-04-11,Completed,Net Banking
